date,amount,price,sid,symbol,value
2011-05-17 00:00:00+00:00,34,232.0,15,BATA,-7888.0
2011-05-17 00:00:00+00:00,40,264.4,18,BHEL,-10576.0
2011-05-17 00:00:00+00:00,59,178.0,31,CADI,-10502.0
2011-05-17 00:00:00+00:00,50,222.93,34,CESC,-11146.5
2011-05-17 00:00:00+00:00,22,390.0,37,COAL,-8580.0
2011-05-17 00:00:00+00:00,17,305.5,53,GLEN,-5193.5
2011-05-17 00:00:00+00:00,86,101.93,68,HZNC,-8765.980000000001
2011-05-17 00:00:00+00:00,352,27.47,93,MOSS,-9669.439999999999
2011-05-17 00:00:00+00:00,7,1260.0,109,PFIZ,-8820.0
2011-05-17 00:00:00+00:00,144,70.0,112,PIIL,-10080.0
2011-05-17 00:00:00+00:00,8,554.8,143,UBBW,-4438.4
2011-05-24 00:00:00+00:00,-17,287.5,53,GLEN,4887.5
2011-05-24 00:00:00+00:00,74,161.8,88,MAXI,-11973.2
2011-05-31 00:00:00+00:00,-40,258.52,18,BHEL,10340.8
2011-05-31 00:00:00+00:00,-50,217.67,34,CESC,10883.5
2011-05-31 00:00:00+00:00,110,67.37,94,MRCO,-7410.700000000001
2011-05-31 00:00:00+00:00,61,217.15,136,TITN,-13246.15
2011-05-31 00:00:00+00:00,208,102.39,139,TREN,-21297.12
2011-06-07 00:00:00+00:00,135,163.7,50,FOHE,-22099.5
2011-06-07 00:00:00+00:00,-86,105.32,68,HZNC,9057.519999999999
2011-06-07 00:00:00+00:00,52,355.5,74,INED,-18486.0
2011-06-07 00:00:00+00:00,21,405.65,82,JUBI,-8518.65
2011-06-07 00:00:00+00:00,-8,543.0,143,UBBW,4344.0
2011-06-14 00:00:00+00:00,34,804.95,43,DIVI,-27368.300000000003
2011-06-28 00:00:00+00:00,399,74.44,23,BLKI,-29701.559999999998
2011-06-28 00:00:00+00:00,-135,159.75,50,FOHE,21566.25
2011-07-05 00:00:00+00:00,-7,1481.0,109,PFIZ,10367.0
2011-07-12 00:00:00+00:00,-59,188.0,31,CADI,11092.0
2011-07-12 00:00:00+00:00,-110,80.2,94,MRCO,8822.0
2011-07-12 00:00:00+00:00,1552,16.08,148,VGUA,-24956.159999999996
2011-07-26 00:00:00+00:00,125,118.88,4,AMAR,-14860.0
2011-07-26 00:00:00+00:00,-22,370.55,37,COAL,8152.1
2011-07-26 00:00:00+00:00,78,151.45,48,EXID,-11813.099999999999
2011-07-26 00:00:00+00:00,-352,30.68,93,MOSS,10799.36
2011-08-02 00:00:00+00:00,131,166.08,46,EMAM,-21756.480000000003
2011-08-02 00:00:00+00:00,-78,153.05,48,EXID,11937.900000000001
2011-08-02 00:00:00+00:00,-74,181.95,88,MAXI,13464.3
2011-08-09 00:00:00+00:00,-52,329.15,74,INED,17115.8
2011-08-16 00:00:00+00:00,150,94.0,149,VODA,-14100.0
2011-08-30 00:00:00+00:00,-34,707.6,43,DIVI,24058.4
2011-08-30 00:00:00+00:00,2,2580.5,108,PAGE,-5161.0
2011-08-30 00:00:00+00:00,143,159.9,111,PIDI,-22865.7
2011-08-30 00:00:00+00:00,-61,206.0,136,TITN,12566.0
2011-09-13 00:00:00+00:00,8,2204.0,66,HROM,-17632.0
2011-09-13 00:00:00+00:00,-143,165.9,111,PIDI,23723.7
2011-09-20 00:00:00+00:00,109,229.0,29,BRIT,-24961.0
2011-09-20 00:00:00+00:00,226,71.13,97,NAFL,-16075.38
2011-09-20 00:00:00+00:00,-1552,15.48,148,VGUA,24024.96
2011-09-27 00:00:00+00:00,-131,148.52,46,EMAM,19456.120000000003
2011-09-27 00:00:00+00:00,62,330.55,64,HLL,-20494.100000000002
2011-10-04 00:00:00+00:00,9,2340.51,124,SANO,-21064.590000000004
2011-10-04 00:00:00+00:00,-208,109.25,139,TREN,22724.0
2011-10-11 00:00:00+00:00,-125,102.0,4,AMAR,12750.0
2011-10-11 00:00:00+00:00,73,178.5,88,MAXI,-13030.5
2011-10-25 00:00:00+00:00,-21,428.95,82,JUBI,9007.949999999999
2011-10-25 00:00:00+00:00,82,147.0,122,REXP,-12054.0
2011-11-01 00:00:00+00:00,-109,235.0,29,BRIT,25615.0
2011-11-01 00:00:00+00:00,322,84.4,70,IGAS,-27176.800000000003
2011-11-08 00:00:00+00:00,-73,187.4,88,MAXI,13680.2
2011-12-13 00:00:00+00:00,-34,271.6,15,BATA,9234.400000000001
2011-12-13 00:00:00+00:00,-322,72.62,70,IGAS,23383.640000000003
2011-12-13 00:00:00+00:00,162,111.0,138,TRCE,-17982.0
2011-12-13 00:00:00+00:00,16,1130.25,144,ULTC,-18084.0
2011-12-20 00:00:00+00:00,-150,82.75,149,VODA,12412.5
2011-12-27 00:00:00+00:00,7,598.1,5,APLH,-4186.7
2011-12-27 00:00:00+00:00,373,47.0,14,BAJE,-17531.0
2011-12-27 00:00:00+00:00,-399,80.17,23,BLKI,31987.83
2011-12-27 00:00:00+00:00,-8,1930.0,66,HROM,15440.0
2011-12-27 00:00:00+00:00,-226,58.52,97,NAFL,13225.52
2011-12-27 00:00:00+00:00,-144,100.0,112,PIIL,14400.0
2011-12-27 00:00:00+00:00,6,2090.05,126,SHCM,-12540.300000000001
2012-01-03 00:00:00+00:00,200,101.0,42,DABU,-20200.0
2012-01-03 00:00:00+00:00,107,143.0,111,PIDI,-15301.0
2012-01-10 00:00:00+00:00,23,652.0,20,BJAT,-14996.0
2012-01-10 00:00:00+00:00,-2,2415.0,108,PAGE,4830.0
2012-01-17 00:00:00+00:00,34,424.1,67,HVEL,-14419.400000000001
2012-01-24 00:00:00+00:00,-200,95.95,42,DABU,19190.0
2012-01-31 00:00:00+00:00,-107,138.0,111,PIDI,14766.0
2012-01-31 00:00:00+00:00,12,1660.25,120,REDY,-19923.0
2012-01-31 00:00:00+00:00,-9,2314.6,124,SANO,20831.399999999998
2012-01-31 00:00:00+00:00,55,232.6,132,TAMO,-12793.0
2012-01-31 00:00:00+00:00,32,537.25,133,TCS,-17192.0
2012-02-07 00:00:00+00:00,-373,48.33,14,BAJE,18027.09
2012-02-07 00:00:00+00:00,52,461.14,58,GRAS,-23979.28
2012-02-14 00:00:00+00:00,-23,790.0,20,BJAT,18170.0
2012-02-21 00:00:00+00:00,-82,139.1,122,REXP,11406.199999999999
